Gene	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_1	Sample_2	Sample_3
ENSG00000232177.1|MTND4P24	0	3	0	1	0	3	0	1	0
ENSG00000232179.1|MTATP6P29	0	0	0	0	0	0	0	0	0
ENSG00000232183.1|AL031386.1	0	0	0	0	0	0	0	0	0
ENSG00000232184.1|AL662889.1	0	0	0	0	0	0	0	0	0
ENSG00000232185.1|CNOT7P2	0	0	0	0	0	0	0	0	0
ENSG00000232186.1|AL137013.1	1	0	0	1	0	6	0	0	1
ENSG00000232187.1|FTH1P7	64	20	34	51	121	135	75	74	163
ENSG00000232188.1|AL354714.4	0	0	0	0	0	0	0	0	0
ENSG00000232190.2|LINC02181	3	0	0	0	0	0	0	0	0
ENSG00000232192.1|AL592103.1	0	0	0	0	0	0	0	0	0
ENSG00000232193.1|AL157359.2	0	0	0	0	0	0	0	0	0
ENSG00000232194.1|Z99943.1	0	0	0	0	0	15	0	0	0
ENSG00000232195.1|TOMM22P2	0	0	0	0	0	0	0	0	0
ENSG00000232196.3|MTRNR2L4	0	0	0	0	0	0	4	0	1
ENSG00000232197.1|AL596442.1	0	0	0	0	0	0	0	0	9
ENSG00000232198.2|MTCO2P34	0	0	0	0	0	0	0	0	0
ENSG00000232199.1|RPL3P8	0	0	0	0	0	0	0	0	0
ENSG00000232200.2|AL158090.1	0	0	0	0	0	0	0	0	0
ENSG00000232202.1|AC098824.1	3	0	5	4	1	0	0	0	10
ENSG00000232203.3|SLC25A6P2	0	0	0	0	0	0	0	0	0
ENSG00000232204.1|TET1P1	0	0	0	0	0	0	0	0	0
ENSG00000232205.1|CDY18P	0	0	0	0	0	0	0	0	0
ENSG00000232208.2|AL139415.1	24	2	14	3	5	52	0	0	0
ENSG00000232211.1|AL353613.1	0	0	0	0	0	0	0	0	0
ENSG00000232212.1|LINC01701	0	0	0	0	0	0	0	0	0
ENSG00000232215.2|OR2L6P	0	0	0	0	0	6	0	0	0
ENSG00000232216.1|IGHV3-43	2	8	45	39	106	11	7	3	22
ENSG00000232217.1|FTLP8	0	0	6	0	0	0	0	0	0
ENSG00000232218.1|AL021937.2	0	0	0	0	1	4	10	0	0
ENSG00000232220.2|AC008440.2	0	0	0	0	0	0	0	0	0
ENSG00000232223.1|CNN2P10	0	0	0	0	0	0	0	0	0
ENSG00000232225.6|LINC01047	0	0	0	0	0	0	0	0	0
ENSG00000232226.2|ARSFP1	0	0	0	0	0	0	0	0	0
ENSG00000232227.5|AC013401.1	0	0	0	0	0	0	0	0	0
ENSG00000232228.1|AC092431.2	0	0	0	0	4	0	0	0	0
ENSG00000232229.5|LINC00865	0	0	8	0	0	31	0	0	19
ENSG00000232230.1|TPM4P1	0	0	0	0	0	0	0	0	0
ENSG00000232233.1|LINC02043	0	0	6	0	0	0	0	0	0
ENSG00000232234.2|AL359378.1	0	0	0	0	0	0	0	0	0
ENSG00000232235.1|CDY3P	0	0	0	0	0	0	0	0	0
ENSG00000232237.3|ASCL5	0	55	0	0	0	0	0	0	1
ENSG00000232238.1|RPS29P8	0	0	0	0	0	0	0	0	6
ENSG00000232239.2|RBPJP5	0	0	0	0	0	0	0	0	0
ENSG00000232240.2|AL356387.2	0	0	0	0	0	0	0	0	0
ENSG00000232241.1|DYNLT3P1	0	0	0	0	0	0	0	0	0
ENSG00000232242.2|ZYG11AP1	0	0	0	0	0	0	0	0	0
ENSG00000232243.1|AL139327.2	0	0	0	0	0	0	0	0	0
ENSG00000232245.1|AL035415.1	0	0	0	0	0	0	0	0	0
ENSG00000232249.1|AC152007.1	0	0	0	0	0	0	0	0	0
ENSG00000232252.1|AL354994.1	0	0	0	0	0	0	0	0	0
ENSG00000232254.1|CSF2RBP1	0	0	0	0	0	0	0	0	0
ENSG00000232258.6|TMEM114	0	0	0	0	0	0	0	0	0
ENSG00000232259.1|AL158166.2	0	0	0	0	0	0	0	0	12
ENSG00000232260.2|BTF3L4P1	1	0	1	0	0	0	0	0	0
ENSG00000232261.1|Z98751.1	0	0	0	0	0	0	0	0	0
ENSG00000232263.1|KRTAP25-1	0	0	0	0	0	0	0	0	0
ENSG00000232264.4|USP17L24	0	0	0	0	0	0	0	0	0
ENSG00000232265.7|AC239803.1	0	0	0	0	0	0	0	0	0
ENSG00000232267.1|ACTR3P2	0	0	0	0	0	0	0	0	0
ENSG00000232268.6|OR52I1	0	0	0	10	0	0	0	0	0
ENSG00000232271.1|AL096799.1	0	0	0	0	0	0	0	0	0
ENSG00000232273.1|FTH1P1	0	0	0	0	0	0	0	0	0
ENSG00000232277.1|AC104651.2	0	0	0	0	0	0	0	0	0
ENSG00000232281.2|IFNWP15	0	0	0	0	0	0	0	0	0
ENSG00000232282.1|MTND1P32	0	0	0	0	0	14	0	0	0
ENSG00000232283.1|HSD17B3-AS1	0	0	0	0	0	0	0	0	0
ENSG00000232284.7|GNG12-AS1	0	0	0	0	0	0	0	0	0
ENSG00000232285.1|ELOBP3	0	0	0	0	0	0	0	0	0
ENSG00000232286.1|AL121902.1	0	0	0	0	0	0	0	0	0
ENSG00000232287.2|SLC6A1-AS1	0	0	0	0	0	0	0	0	0
ENSG00000232290.1|AL133260.2	0	0	0	0	0	0	0	0	0
ENSG00000232292.1|ALDH7A1P2	0	0	0	0	0	0	0	0	0
ENSG00000232293.2|PAICSP7	0	0	0	0	0	0	0	0	0
ENSG00000232294.5|AL031674.1	0	0	0	0	0	0	0	0	0
ENSG00000232295.7|AL589935.1	0	1	0	0	0	0	0	0	0
ENSG00000232296.1|AL691482.1	0	0	0	0	0	0	0	0	0
ENSG00000232298.2|AL138902.1	0	0	0	0	0	0	0	0	0
ENSG00000232299.1|AL357514.1	0	0	0	0	0	0	0	0	0
ENSG00000232300.1|FAM215B	2	1	2	0	0	5	1	0	3
ENSG00000232301.1|LNCPRESS1	0	0	0	0	0	0	0	0	0
ENSG00000232303.2|DFFBP1	0	0	17	4	0	0	4	0	0
ENSG00000232305.1|CLCP1	0	0	0	0	0	0	0	0	0
ENSG00000232306.2|AC012485.2	0	0	0	0	0	0	0	0	0
ENSG00000232307.1|DAOA-AS1	0	0	0	0	0	0	0	0	0
ENSG00000232309.1|AL390856.1	0	0	0	0	0	0	0	0	0
ENSG00000232310.6|AL078590.3	0	0	0	0	0	0	0	0	3
ENSG00000232311.1|AL512303.1	0	0	0	0	0	5	0	0	0
ENSG00000232314.1|PSMC1P13	0	0	0	0	0	0	0	0	0
ENSG00000232316.1|LINC02518	0	0	0	1	0	0	0	0	0
ENSG00000232320.6|AC009299.2	0	4	0	1	2	6	0	0	3
ENSG00000232324.1|AC008440.3	22	39	37	0	11	9	0	26	35
ENSG00000232325.4|AC093627.1	0	0	0	0	0	0	0	0	0
ENSG00000232327.4|AC105917.1	0	0	0	0	0	0	0	0	0
ENSG00000232328.1|AC084030.1	0	0	0	0	0	0	0	0	0
ENSG00000232332.1|AC233982.1	0	0	0	0	0	0	0	0	0
ENSG00000232333.1|RPS27AP2	0	0	0	0	0	17	2	0	2
ENSG00000232334.1|AL683842.1	0	0	0	0	0	0	0	0	0
ENSG00000232335.1|AL354864.1	0	0	0	0	0	0	0	0	0
ENSG00000232337.1|AC009313.2	0	0	0	0	0	0	0	0	0
ENSG00000232341.2|RPL4P2	0	0	0	0	0	0	1	0	0
ENSG00000232342.7|AC022540.1	0	0	3	26	4	0	0	0	0
ENSG00000232344.2|AC087163.2	0	0	0	0	0	1	0	0	0
ENSG00000232346.1|Z74021.1	2	2	4	2	1	5	1	3	4
ENSG00000232347.1|AL390728.5	0	0	0	0	0	0	0	0	0
ENSG00000232348.2|LINC00279	0	0	0	0	0	0	0	0	0
ENSG00000232349.2|YBX1P7	0	0	0	0	0	0	0	0	0
ENSG00000232350.1|AC244250.2	0	0	0	0	0	0	0	0	0
ENSG00000232352.1|SEMA3B-AS1	0	0	0	0	0	0	0	0	0
ENSG00000232353.5|AC026320.1	0	0	0	0	0	0	0	0	0
ENSG00000232354.8|VIPR1-AS1	21	18	32	9	5	12	21	0	7
ENSG00000232355.2|AL603650.1	0	0	0	0	0	0	0	0	0
ENSG00000232358.1|AL050404.1	0	0	0	0	0	0	0	0	0
ENSG00000232359.1|AC104777.2	0	0	0	0	0	0	0	0	0
ENSG00000232360.1|AP000281.2	0	0	0	0	0	0	0	0	0
ENSG00000232361.3|AC069304.1	0	0	0	0	0	0	0	0	0
ENSG00000232362.1|ATP5LP2	0	0	0	0	0	0	0	0	0
ENSG00000232363.1|AL021391.1	0	0	0	0	0	0	0	0	0
ENSG00000232366.1|VDAC1P9	0	0	0	0	0	0	0	0	0
ENSG00000232368.1|FTLP2	13	6	6	4	15	19	8	11	14
ENSG00000232369.1|AL136380.2	0	0	0	0	0	0	0	0	0
ENSG00000232370.1|AF241726.1	0	0	0	0	0	0	0	0	0
ENSG00000232373.2|MTCYBP3	0	0	6	0	1	6	21	0	0
ENSG00000232374.5|GPR79	0	0	0	0	0	0	0	0	0
ENSG00000232375.1|AC092042.2	0	0	0	0	0	0	0	0	0
ENSG00000232377.1|AC016910.1	0	0	0	0	0	0	0	0	0
ENSG00000232378.1|RPL29P28	0	0	0	0	0	0	0	0	0
ENSG00000232379.1|AL390879.1	0	0	0	0	0	0	0	0	0
ENSG00000232380.1|ZDHHC20P4	0	0	0	0	0	0	0	0	0
ENSG00000232381.1|OR52U1P	0	0	21	0	0	12	0	0	0
ENSG00000232382.2|OR5K1	0	0	0	0	0	0	0	0	0
ENSG00000232383.1|AC010677.1	0	0	0	0	0	0	0	0	0
ENSG00000232385.2|RPS3AP25	0	1	2	3	1	1	1	0	2
ENSG00000232386.9|AC015712.1	0	0	2	0	0	0	1	0	0
ENSG00000232387.2|SKA2P1	2	0	2	0	4	1	0	0	1
ENSG00000232388.4|SMIM26	113	162	173	125	159	167	155	160	248
ENSG00000232389.1|AL583856.1	1	1	1	0	0	0	0	0	0
ENSG00000232390.3|NDUFA5P1	0	0	0	0	0	0	0	0	0
ENSG00000232391.1|RANP2	0	0	0	0	0	0	0	0	0
ENSG00000232392.1|AC002366.1	0	0	0	0	0	0	0	0	0
ENSG00000232393.1|RPL5P6	0	0	0	0	0	0	0	0	0
ENSG00000232394.1|AC090696.1	0	0	0	0	0	0	0	0	0
ENSG00000232395.1|AL138830.2	0	0	0	0	0	0	0	0	0
ENSG00000232396.2|AC004882.1	0	0	0	0	0	0	25	0	0
ENSG00000232398.1|TMPRSS11CP	0	0	0	0	12	24	0	0	0
ENSG00000232399.3|USP17L13	0	0	0	0	0	0	0	0	0
ENSG00000232400.1|RAD17P1	0	0	0	0	0	0	0	0	0
ENSG00000232401.1|LINC00112	0	0	0	0	0	0	0	0	0
ENSG00000232403.1|AC009501.2	0	0	0	0	0	0	0	0	0
ENSG00000232406.6|AL121895.1	0	0	0	0	0	0	0	0	0
ENSG00000232407.3|AC104164.2	0	0	0	0	0	0	0	0	0
ENSG00000232408.1|AC140481.2	0	0	0	0	0	0	0	0	0
ENSG00000232409.1|AC019185.3	0	0	0	0	0	0	0	0	0
ENSG00000232411.1|AC009495.2	0	0	0	0	0	4	0	0	0
ENSG00000232412.1|AL121601.1	8	38	1	8	6	0	0	10	9
ENSG00000232413.1|AL589923.1	0	0	0	0	0	0	0	0	0
ENSG00000232415.1|AC005056.1	0	0	0	8	0	0	20	0	6
ENSG00000232416.3|BPESC1	0	0	0	0	0	0	0	0	0
ENSG00000232418.1|AC074348.1	0	0	0	0	0	0	0	0	0
ENSG00000232419.1|TTTY19	0	0	0	0	0	0	0	0	0
ENSG00000232420.2|IL9RP2	0	0	0	0	0	0	0	0	0
ENSG00000232422.1|KNOP1P4	2	0	0	2	0	0	0	0	0
ENSG00000232423.6|PRAMEF6	0	0	0	0	0	0	0	0	0
ENSG00000232424.1|USP9YP29	0	0	0	0	0	0	0	0	0
ENSG00000232429.3|RPL21P131	0	0	0	0	0	0	0	0	1
ENSG00000232430.1|RPL31P15	0	0	0	0	0	0	0	0	0
ENSG00000232431.3|AC055876.1	0	0	0	25	0	1	0	0	0
ENSG00000232433.2|GXYLT1P3	0	0	0	0	0	0	0	0	0
ENSG00000232434.2|C9orf172	44	100	213	163	25	164	49	88	54
ENSG00000232436.1|AL360013.2	0	0	0	0	0	0	0	0	0
ENSG00000232437.1|RPS26P42	6	27	1	12	10	6	12	4	19
ENSG00000232439.1|RPL18AP7	0	0	32	0	0	0	0	0	0
ENSG00000232442.1|MHENCR	505	669	1172	1376	417	976	1664	1816	1318
ENSG00000232444.1|AC010745.4	0	0	0	0	0	0	0	0	0
ENSG00000232445.1|AC006329.1	0	0	0	0	0	0	0	0	1
ENSG00000232446.1|AC129850.1	0	0	0	0	0	0	0	0	0
ENSG00000232447.1|MTND5P3	0	0	0	0	0	0	0	0	0
ENSG00000232448.1|AL354824.2	0	0	0	0	0	0	0	0	0
ENSG00000232450.1|AL133517.1	2	0	0	2	3	0	0	0	0
ENSG00000232451.1|AC018467.1	0	0	0	0	0	0	0	0	0
ENSG00000232453.6|AC105277.1	1	2	17	0	19	1	0	0	0
ENSG00000232454.2|AL138752.1	0	0	0	0	0	0	0	0	0
ENSG00000232455.2|LARS2-AS1	0	0	0	0	0	0	1	0	4
ENSG00000232456.1|AL355994.2	0	0	0	1	0	0	0	0	0
ENSG00000232457.4|SLC16A6P1	0	0	0	0	0	7	2	4	0
ENSG00000232458.1|LINC01450	0	0	0	0	0	0	0	0	0
ENSG00000232459.1|AC107977.1	0	0	0	0	0	0	0	0	0
ENSG00000232460.4|BMPR1APS2	0	0	0	0	0	0	0	0	0
ENSG00000232461.1|AC092920.1	0	0	0	0	0	0	0	0	0
ENSG00000232463.1|AL359265.2	0	0	0	0	0	0	1	0	0
ENSG00000232464.1|Z98949.3	0	0	0	0	0	0	0	0	0
ENSG00000232465.1|AL049765.1	0	0	0	0	0	0	0	0	0
ENSG00000232466.1|AL356133.1	0	0	0	12	0	0	0	3	0
ENSG00000232467.2|TMA16P2	1	0	0	0	0	0	0	0	4
ENSG00000232470.1|AL136368.1	13	8	6	34	28	30	17	4	37
ENSG00000232471.3|AC119751.1	0	0	0	0	0	0	0	0	0
ENSG00000232472.1|EEF1B2P3	17	21	22	36	19	27	35	19	67
ENSG00000232474.1|NCKAP5-IT1	0	0	0	0	0	0	0	0	0
ENSG00000232475.1|HSFY5P	0	0	0	0	0	0	0	0	0
ENSG00000232479.2|AC010900.1	0	0	0	0	0	24	0	0	0
ENSG00000232480.1|TGFB2-AS1	0	0	0	0	0	0	4	2	0
ENSG00000232482.2|AL357134.1	0	0	0	0	0	0	0	0	0
ENSG00000232485.2|AC098820.1	0	1	1	34	0	0	0	0	16
ENSG00000232486.1|AL592437.2	0	7	0	1	0	0	0	0	5
ENSG00000232487.1|RASA3-IT1	13	26	0	13	0	0	0	0	6
ENSG00000232489.1|MFAP1P1	0	0	0	0	0	0	0	0	0
ENSG00000232490.6|OSBPL10-AS1	7	0	0	0	0	37	11	0	41
ENSG00000232491.1|SAPCD2P3	54	0	1	0	0	142	24	13	19
ENSG00000232492.1|NPM1P13	0	0	0	0	0	0	0	0	0
ENSG00000232493.2|RPL12P11	0	0	0	0	0	0	0	0	0
ENSG00000232494.1|AL161912.1	0	0	0	0	0	0	0	0	0
ENSG00000232496.2|RPL3P12	0	0	0	0	0	0	0	0	0
ENSG00000232497.1|ADIPOR1P1	0	0	0	0	0	0	0	0	0
ENSG00000232498.1|AL136987.1	0	0	0	0	0	0	0	0	0
ENSG00000232499.2|AL391058.1	1	0	1	2	1	3	1	0	3
ENSG00000232500.1|AP005273.1	0	0	0	0	0	0	0	0	0
ENSG00000232502.1|AC073464.2	0	0	0	0	0	0	0	0	0
ENSG00000232503.1|CYCSP8	0	0	0	0	0	0	0	0	0
ENSG00000232504.4|ST3GAL5-AS1	0	0	6	0	0	0	3	17	31
ENSG00000232508.1|MRPL45P1	0	0	1	0	0	0	0	0	0
ENSG00000232511.4|OR2AH1P	0	0	0	0	0	0	0	0	0
ENSG00000232512.6|AP000233.2	0	0	0	0	0	0	0	0	0
ENSG00000232514.1|AL356968.1	0	0	0	0	0	0	0	0	0
ENSG00000232515.1|AC245060.1	0	0	0	0	0	0	0	0	0
ENSG00000232517.2|AC112198.2	0	0	0	0	6	3	0	0	3
ENSG00000232518.3|AC074366.1	0	12	0	24	1	0	0	0	0
ENSG00000232519.2|AL353807.2	0	9	0	0	0	12	0	11	4
ENSG00000232520.1|AC012507.2	0	0	0	0	0	0	0	0	0
ENSG00000232522.1|ZNF886P	0	0	0	0	0	0	0	0	0
ENSG00000232524.1|AC073323.1	0	0	0	0	0	0	0	0	0
ENSG00000232525.1|SS18L2P1	0	0	0	0	0	0	0	0	0
ENSG00000232526.1|VDAC1P13	0	0	0	0	0	0	0	0	0
ENSG00000232527.7|AC245595.1	0	0	0	0	0	0	0	0	0
ENSG00000232528.3|AL109809.1	19	0	0	0	0	0	2	0	13
ENSG00000232529.1|AL031773.1	0	0	0	0	0	0	0	0	0
ENSG00000232530.1|LIF-AS1	0	0	0	0	0	0	0	0	0
ENSG00000232531.3|AC027612.3	0	0	0	0	0	0	0	0	0
ENSG00000232533.1|AC093673.1	634	590	439	511	1446	1516	747	849	1295
ENSG00000232535.2|OR5H8	0	0	0	0	0	0	0	0	0
ENSG00000232536.1|AL365436.2	0	0	0	0	0	0	11	0	0
ENSG00000232537.1|AC092810.3	0	0	0	0	0	0	0	0	0
ENSG00000232539.1|LINC00945	0	0	0	0	0	0	0	0	0
ENSG00000232540.1|RPL36P19	0	0	0	0	0	0	0	0	0
ENSG00000232542.1|DPYD-IT1	1	3	0	0	10	4	5	0	0
ENSG00000232543.2|IGHD4-11	0	0	0	0	1	0	0	0	0
ENSG00000232545.1|AC253536.3	0	0	4	0	0	0	0	0	0
ENSG00000232546.1|AC027644.1	0	0	0	0	7	0	0	0	0
ENSG00000232548.1|LINC01809	0	0	0	0	0	0	0	0	0
ENSG00000232549.1|SRD5A1P1	0	0	0	0	0	0	0	0	0
ENSG00000232551.2|MTCO1P14	0	0	0	0	0	0	0	0	0
ENSG00000232553.3|CLK2P1	0	0	0	0	0	0	0	0	0
ENSG00000232554.8|RSU1P2	0	0	0	0	0	0	0	0	0
ENSG00000232555.1|AC104088.1	0	0	0	0	0	0	0	0	0
ENSG00000232556.1|AC092570.2	0	0	0	0	2	13	4	0	0
ENSG00000232557.3|AL590609.3	0	0	0	3	0	13	0	0	13
ENSG00000232558.1|KCND3-IT1	0	0	0	0	0	0	0	0	0
ENSG00000232560.6|LINC01549	0	0	0	0	0	0	0	0	0
ENSG00000232562.1|TPMTP3	0	0	0	0	0	0	0	0	0
ENSG00000232563.1|CRB3P1	0	0	0	0	0	0	0	0	0
ENSG00000232564.3|AL031594.1	0	0	30	13	45	0	2	0	73
ENSG00000232568.2|RPL23AP35	0	0	0	0	0	0	8	0	0
ENSG00000232573.1|RPL3P4	77	146	97	94	56	153	118	95	98
ENSG00000232576.2|AL645638.1	0	0	0	0	0	0	0	0	0
ENSG00000232578.4|AC093311.1	0	0	0	0	0	2	0	0	0
ENSG00000232579.1|MTCO1P27	0	0	9	0	0	0	0	0	0
ENSG00000232581.1|AC079742.1	0	0	0	0	0	0	0	0	0
ENSG00000232582.1|AC234771.3	0	0	0	0	0	0	0	0	0
ENSG00000232583.1|GPR143P	0	0	0	0	0	0	0	0	0
ENSG00000232585.1|OFD1P12Y	0	0	0	0	0	0	0	0	0
ENSG00000232586.1|KIAA1614-AS1	0	0	0	0	0	0	0	0	0
ENSG00000232587.1|EEF1A1P3	26	12	21	20	36	71	41	8	33
ENSG00000232590.1|AL451127.1	0	0	0	0	0	0	0	0	0
ENSG00000232591.1|AL139125.1	0	19	0	0	0	0	0	0	0
ENSG00000232593.7|KANTR	43	14	0	41	12	96	7	17	103
ENSG00000232594.1|AC103563.4	0	0	0	0	0	0	0	0	0
ENSG00000232595.1|CST2P1	0	0	0	0	0	0	0	0	0
ENSG00000232596.2|LINC01646	0	0	0	0	0	0	0	0	0
ENSG00000232597.5|AC013727.1	0	0	0	0	0	0	0	0	0
ENSG00000232598.2|AL122034.1	0	0	0	0	0	0	0	0	0
ENSG00000232599.1|AL008707.1	5	0	0	0	0	0	0	0	0
ENSG00000232600.3|TONSL-AS1	0	0	0	0	0	0	0	0	0
ENSG00000232601.1|AC069218.2	0	0	0	0	0	0	0	0	0
ENSG00000232603.1|AC245291.3	0	0	0	0	0	0	0	0	0
ENSG00000232604.1|AC010967.2	0	0	0	0	0	0	0	0	0
ENSG00000232605.2|HMGN2P11	0	0	0	0	0	0	0	0	0
ENSG00000232606.1|LINC01412	1	0	0	0	0	0	0	0	2
ENSG00000232608.1|TIMM9P2	2	8	2	0	0	1	22	3	2
ENSG00000232610.1|CCT6P4	0	0	0	0	0	0	0	0	0
ENSG00000232611.1|AL683813.1	22	1	9	0	0	1	30	0	0
ENSG00000232612.1|RPL31P35	0	0	0	0	0	0	0	0	0
ENSG00000232613.6|AC007386.2	18	0	6	22	5	17	0	0	5
ENSG00000232614.1|USP9YP9	0	0	0	0	0	0	0	0	0
ENSG00000232615.4|AC026412.2	4	8	9	8	16	9	1	0	3
ENSG00000232617.1|AC017019.1	0	0	0	0	0	0	0	0	0
ENSG00000232618.1|AL355304.1	4	0	0	7	5	0	3	10	10
ENSG00000232620.1|TSPY17P	0	0	0	0	0	0	0	0	0
ENSG00000232621.1|C4BPAP2	0	0	0	0	0	0	0	0	0
ENSG00000232622.1|AC114482.1	0	0	0	0	0	0	0	0	0
ENSG00000232623.1|AP000266.1	0	2	5	0	1	0	0	0	0
ENSG00000232624.6|LINC01517	0	0	0	0	0	0	0	0	0
ENSG00000232625.1|RPL23AP31	0	0	0	0	0	0	0	0	0
ENSG00000232626.3|AC099336.1	6	0	0	0	0	29	13	0	82
ENSG00000232627.1|AC021876.1	0	0	0	0	0	0	0	0	0
ENSG00000232628.5|AC092809.2	0	0	0	7	1	0	0	0	4
ENSG00000232629.8|HLA-DQB2	268	244	402	66	149	1164	10	16	706
ENSG00000232630.1|PRPS1P2	5	3	0	6	0	0	11	0	0
ENSG00000232631.1|MTND2P23	0	0	0	0	0	0	0	0	0
ENSG00000232633.4|AC079465.1	0	0	0	0	0	0	0	0	0
ENSG00000232634.1|NEFLP1	0	0	0	0	0	0	0	0	0
ENSG00000232636.2|AL360267.1	0	0	0	0	0	0	0	0	0
ENSG00000232638.1|AL390294.1	0	0	0	0	0	0	1	1	0
ENSG00000232640.1|AL354892.2	11	0	64	4	22	100	6	0	63
ENSG00000232642.1|AC008073.2	0	0	0	0	0	1	0	0	0
ENSG00000232643.1|LINC00385	0	0	0	0	0	0	0	0	0
ENSG00000232644.1|AC005297.2	0	0	0	0	0	0	0	0	0
ENSG00000232645.5|LINC01431	29	100	49	53	41	34	96	76	48
ENSG00000232646.1|AL731563.1	0	0	0	0	0	0	0	0	0
ENSG00000232647.1|POLR3KP1	0	0	0	0	0	0	0	0	0
ENSG00000232648.3|AC107214.1	4	0	6	0	0	23	1	0	0
ENSG00000232650.5|LINC01780	0	0	0	0	0	0	0	0	0
ENSG00000232653.8|GOLGA8N	7	0	0	0	2	6	2	0	4
ENSG00000232654.1|FAM136BP	0	0	0	0	0	0	0	0	0
ENSG00000232655.1|LINC01656	0	0	0	0	0	0	0	0	0
ENSG00000232656.7|IDI2-AS1	1	0	34	0	1	1	2	0	1
ENSG00000232658.1|AC092638.1	0	0	0	0	0	0	0	0	0
ENSG00000232661.1|AC000111.1	0	0	0	0	0	0	0	0	0
ENSG00000232662.2|LDHBP1	0	0	0	0	0	0	0	0	0
ENSG00000232663.2|AL139415.2	0	0	0	30	0	1	0	0	0
ENSG00000232664.2|LARP1BP3	0	0	0	0	0	0	0	0	0
ENSG00000232665.2|PHBP10	0	0	0	0	0	0	0	0	0
ENSG00000232667.10|AC004862.1	0	0	0	0	0	0	0	0	0
ENSG00000232668.1|AC010967.3	0	0	0	0	0	0	0	0	0
ENSG00000232671.5|AL391069.2	16	12	35	19	40	42	16	11	16
ENSG00000232672.1|ACTG1P21	0	0	0	0	0	0	1	0	0
ENSG00000232675.7|AL121830.1	0	0	0	0	0	0	0	0	0
ENSG00000232676.1|ADH5P2	0	0	0	0	0	0	0	0	0
ENSG00000232677.6|LINC00665	16	0	310	85	3	64	250	36	0
ENSG00000232678.2|SPTLC1P4	0	0	0	0	0	0	0	0	0
ENSG00000232679.1|LINC01705	0	0	0	0	0	0	0	0	0
ENSG00000232680.2|AC002511.1	0	0	0	6	56	37	0	0	0
ENSG00000232682.2|AL592430.1	2	0	0	0	0	0	3	2	0
ENSG00000232684.1|ATP11A-AS1	36	0	28	20	108	11	3	0	36
ENSG00000232685.4|LINC00442	0	0	0	0	0	0	0	0	0
ENSG00000232687.1|RPL12P9	0	0	0	0	0	0	0	0	0
ENSG00000232688.1|LINC01628	0	0	0	0	0	0	0	0	0
ENSG00000232690.1|HSPE1P9	0	0	0	0	0	0	0	0	12
ENSG00000232692.1|AP001596.1	0	0	0	0	0	0	0	0	0
ENSG00000232693.2|AC012370.1	0	0	0	0	0	0	20	0	0
ENSG00000232695.1|ELOCP17	0	0	0	0	0	0	0	0	0
ENSG00000232696.1|AC017006.2	0	0	0	0	1	0	0	0	0
ENSG00000232698.1|AP001058.1	1	0	0	0	0	2	3	0	4
ENSG00000232699.3|BDH2P1	0	0	1	0	0	0	0	0	0
ENSG00000232701.1|RPL21P108	0	0	0	5	0	0	0	0	0
ENSG00000232702.3|AL158050.1	7	2	5	6	2	6	4	2	10
ENSG00000232706.3|NUTM2HP	0	0	0	0	0	0	0	0	0
ENSG00000232707.1|AP1B1P2	0	0	0	0	0	0	0	0	0
ENSG00000232709.1|MARK2P9	0	0	0	0	0	0	0	0	0
ENSG00000232710.1|AC254562.2	0	0	0	0	0	0	0	0	0
ENSG00000232712.6|KIZ-AS1	19	0	5	0	0	0	25	0	0
ENSG00000232713.2|AC010733.1	0	24	0	0	0	24	19	0	4
ENSG00000232714.1|MTND3P8	0	0	0	0	0	0	0	0	0
ENSG00000232715.1|LINC01022	0	0	0	0	0	0	0	0	0
ENSG00000232716.2|AC016831.3	0	0	0	0	0	0	0	0	0
ENSG00000232717.1|TRIM51JP	0	0	0	0	0	0	0	0	0
ENSG00000232718.1|GAPDHP48	0	0	0	0	0	0	0	0	0
ENSG00000232719.1|AC007272.1	0	2	0	0	1	0	0	0	1
ENSG00000232721.2|AC239800.2	0	0	0	0	0	0	0	0	0
ENSG00000232722.3|MROH4P	0	0	0	0	0	0	0	0	0
ENSG00000232723.1|AC013399.1	0	0	1	0	0	0	6	0	0
ENSG00000232724.1|TRIM80P	5	0	5	10	77	7	2	0	2
ENSG00000232725.1|U52111.1	0	0	21	0	3	0	0	0	0
ENSG00000232727.2|YWHAEP1	0	0	0	0	0	0	0	0	0
ENSG00000232728.1|PHB2P1	0	0	0	0	0	0	0	0	0
ENSG00000232729.7|AC211433.1	6	11	5	0	0	0	5	0	8
ENSG00000232730.1|FAM8A4P	0	0	0	0	0	0	0	0	0
ENSG00000232732.9|AC097717.1	0	1	0	0	0	0	0	0	0
ENSG00000232734.1|ATP5G1P7	0	0	0	0	0	0	0	0	0
ENSG00000232735.2|ATG4AP1	0	0	0	0	0	0	0	0	0
ENSG00000232736.1|AC007551.1	0	0	0	0	0	0	0	0	0
ENSG00000232738.1|AL353612.1	0	0	0	0	0	0	0	0	0
ENSG00000232739.1|AL607028.1	0	0	0	0	0	0	0	0	0
ENSG00000232740.1|LINC01826	0	0	0	0	0	0	0	0	0
ENSG00000232742.3|RHOQP2	1	0	0	0	0	0	0	0	0
ENSG00000232743.2|ELF2P3	0	0	0	0	0	0	0	0	0
ENSG00000232744.1|USP9YP16	0	0	0	0	0	0	0	0	0
